Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
879,"LA Jensen, JJ Arnett, J McKenzie",Globalization and cultural identity,2011,Handbook of identity theory and …,Springer,https://link.springer.com/chapter/10.1007/978-1-4419-7988-9_13,"https://scholar.google.com/scholar?cites=17662328686524380552&as_sdt=2005&sciodt=0,5&hl=en",1,09/05/22 10:13,,10.1007/978-1-4419-7988-9_13,,,,,,,879,79.91,293,3,11,"… Consequently, developing a cultural identity has become more complex, no … cultural identity developments in adolescence and emerging adulthood, we define the term cultural identity, …",https://www.academia.edu/download/39350623/27905.pdf,"https://scholar.google.com/scholar?q=related:iDV6glwyHfUJ:scholar.google.com/&scioq=%22cultural+identity%22&hl=en&as_sdt=0,5&as_vis=1"
3787,"J Assmann, J Czaplicka",Collective memory and cultural identity,1995,New german critique,JSTOR,https://www.jstor.org/stable/488538,"https://scholar.google.com/scholar?cites=5481112350849109370&as_sdt=2005&sciodt=0,5&hl=en",2,09/05/22 10:13,,,,,,,,,3787,140.26,1894,2,27,"Problem and Program In the third decade of this century, the sociologist Maurice Halbwachs and the art historian Aby Warburg independently developed'two theories of a"" collective"" or"" …",https://www.academia.edu/download/28394739/assman_collective_memory.pdf,"https://scholar.google.com/scholar?q=related:eg1elqTSEEwJ:scholar.google.com/&scioq=%22cultural+identity%22&hl=en&as_sdt=0,5&as_vis=1"
873,"D Bhugra, MA Becker","Migration, cultural bereavement and cultural identity",2005,World psychiatry,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc1414713/,"https://scholar.google.com/scholar?cites=15678082535968575732&as_sdt=2005&sciodt=0,5&hl=en",3,09/05/22 10:13,HTML,,,,,,,,873,51.35,437,2,17,… Our hypothesis is that such an experience will be mediated through and influenced by cultural identity. The concepts of individual identity are likely to affect the understanding as well as …,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc1414713/,"https://scholar.google.com/scholar?q=related:9JCpGwC9k9kJ:scholar.google.com/&scioq=%22cultural+identity%22&hl=en&as_sdt=0,5&as_vis=1"
831,B Ferdman,Literacy and cultural identity,1990,Harvard educational review,meridian.allenpress.com,https://meridian.allenpress.com/her/article-abstract/60/2/181/31466,"https://scholar.google.com/scholar?cites=16799804136003088778&as_sdt=2005&sciodt=0,5&hl=en",4,09/05/22 10:13,,,,,,,,,831,25.97,831,1,32,"… This is what I call cultural identity. Cultural identity, I argue, both derives from and moduн … After placing the issue in context, I elaborate and refine the construct of cultural identity and …",https://www.researchgate.net/profile/Bernardo-Ferdman/publication/235007831_Literacy_and_Cultural_Identity/links/5689954b08ae051f9af77d10/Literacy-and-Cultural-Identity.pdf,"https://scholar.google.com/scholar?q=related:ijGaPtrkJOkJ:scholar.google.com/&scioq=%22cultural+identity%22&hl=en&as_sdt=0,5&as_vis=1"
206,A Holliday,Complexity in cultural identity,2010,Language and Intercultural Communication,Taylor & Francis,https://www.tandfonline.com/doi/abs/10.1080/14708470903267384,"https://scholar.google.com/scholar?cites=10149013095993479691&as_sdt=2005&sciodt=0,5&hl=en",5,09/05/22 10:13,,10.1080/14708470903267384,,,,,,,206,17.17,206,1,12,"… This paper is an exploratory, qualitative study of the relationship between perceptions of cultural identity and nation. It is motivated by critiques of the use of national culture to explain …",,"https://scholar.google.com/scholar?q=related:C5J6l6OJ2IwJ:scholar.google.com/&scioq=%22cultural+identity%22&hl=en&as_sdt=0,5&as_vis=1"
15104,S Hall,Cultural identity and diaspora,1990,1990,books.google.com,https://books.google.com/books?hl=en&lr=&id=UG0sEAAAQBAJ&oi=fnd&pg=PA443&dq=%22cultural+identity%22&ots=3ZXRJCVJ8g&sig=TGdxxk9yW5A9lawJFgwy1itxzvQ,"https://scholar.google.com/scholar?cites=1770780549409130706&as_sdt=2005&sciodt=0,5&hl=en",6,09/05/22 10:13,,,,,,,,,15104,472.00,15104,1,32,"… our conception of “cultural identity.” In this perspective, cultural identity is not a fixed … This second view of cultural identity is much less familiar, and more unseling. If identity does …",http://www.gurunanakcollegeasc.in/userfiles/Stuart%20Hall%20Identity.pdf,"https://scholar.google.com/scholar?q=related:0sizFocTkxgJ:scholar.google.com/&scioq=%22cultural+identity%22&hl=en&as_sdt=0,5&as_vis=1"
134,"SJ Schwartz, BL Zamboanga, ...",Broadening the study of the self: Integrating the study of personal identity and cultural identity,2008,Social and Personality …,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1751-9004.2008.00077.x,"https://scholar.google.com/scholar?cites=235327225752438956&as_sdt=2005&sciodt=0,5&hl=en",7,09/05/22 10:13,,10.1111/j.1751-9004.2008.00077.x,,,,,,,134,9.57,45,3,14,"… A prime example of this separateness, which will be the focus of this article, is the division between personal identity and cultural identity. Much of the individual-focused, psychological …",,"https://scholar.google.com/scholar?q=related:rMjzcN0MRAMJ:scholar.google.com/&scioq=%22cultural+identity%22&hl=en&as_sdt=0,5&as_vis=1"
47,YY Kim,Beyond cultural identity,1994,Intercultural Communication Studies,kent.edu,https://www.kent.edu/sites/default/files/file/01-Young-Yun-Kim.pdf,"https://scholar.google.com/scholar?cites=16235698673541740673&as_sdt=2005&sciodt=0,5&hl=en",8,09/05/22 10:13,PDF,,,,,,,,47,1.68,47,1,28,… cultural identity prevalent in contemporary American public discourse. The author finds it particularly problematic that cultural identity … of one's ascribed or primary cultural identity. In this …,https://www.kent.edu/sites/default/files/file/01-Young-Yun-Kim.pdf,"https://scholar.google.com/scholar?q=related:gXi8VOzJUOEJ:scholar.google.com/&scioq=%22cultural+identity%22&hl=en&as_sdt=0,5&as_vis=1"
92,AS Altugan,The relationship between cultural identity and learning,2015,Procedia-Social and Behavioral Sciences,Elsevier,https://www.sciencedirect.com/science/article/pii/S1877042815024210,"https://scholar.google.com/scholar?cites=16979718280428466860&as_sdt=2005&sciodt=0,5&hl=en",9,09/05/22 10:13,,,,,,,,,92,13.14,92,1,7,… between learning and cultural identity. This research was … at schools and cultural identity supports positive correlations … found valuable insights into cultural identity. Teachers should be …,https://www.sciencedirect.com/science/article/pii/S1877042815024210/pdf?md5=1194a55a1a747865088e871b82ea652b&pid=1-s2.0-S1877042815024210-main.pdf,"https://scholar.google.com/scholar?q=related:rDIlS9ATpOsJ:scholar.google.com/&scioq=%22cultural+identity%22&hl=en&as_sdt=0,5&as_vis=1"
523,D Bhugra,"Migration, distress and cultural identity",2004,British medical bulletin,academic.oup.com,https://academic.oup.com/bmb/article-abstract/69/1/129/523340,"https://scholar.google.com/scholar?cites=9934216556689677014&as_sdt=2005&sciodt=0,5&hl=en",10,09/05/22 10:13,,,,,,,,,523,29.06,523,1,18,"… Migration and cultural identity In this section, the focus is on cultural identity among black and ethnic … culture) and cultural identity have to be studied at both individual and group levels. …",https://academic.oup.com/bmb/article/69/1/129/523340,"https://scholar.google.com/scholar?q=related:1tpKF1Nt3YkJ:scholar.google.com/&scioq=%22cultural+identity%22&hl=en&as_sdt=0,5&as_vis=1"
