Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1370,OL Molano,Identidad cultural un concepto que evoluciona.,2007,Revista opera,dialnet.unirioja.es,https://dialnet.unirioja.es/servlet/articulo?codigo=4020258,"https://scholar.google.com/scholar?cites=16122047210247711867&as_sdt=2005&sciodt=0,5&hl=en",1,09/05/22 09:46,,,,,,,,,1370,91.33,1370,1,15,"Este documento pretende aportar a la discusión sobre desarrollo territorial con identidad cultural, a través de un breve recorrido sobre la evolución de los conceptos de cultura, …",https://dialnet.unirioja.es/descarga/articulo/4020258.pdf,"https://scholar.google.com/scholar?q=related:e2zk-oQEvd8J:scholar.google.com/&scioq=%22identidad+cultural%22&hl=en&as_sdt=0,5&as_vis=1"
1239,"S Hall, P Du Gay",Cuestiones de identidad cultural,2003,,academia.edu,https://www.academia.edu/download/38707368/4.2_Stuart_Hall_y_la_Idetidad_cultural_3.pdf,"https://scholar.google.com/scholar?cites=3383927269548531239&as_sdt=2005&sciodt=0,5&hl=en",2,09/05/22 09:46,BOOK,,,,,,,,1239,65.21,620,2,19,"… de las concepciones étnicas, raciales y nacionales de la identidad cultural y la «política … esta concepción esencializadora al escenario de la identidad cultural– ese «yo colectivo o …",https://www.academia.edu/download/38707368/4.2_Stuart_Hall_y_la_Idetidad_cultural_3.pdf,"https://scholar.google.com/scholar?q=related:J54yP-wf9i4J:scholar.google.com/&scioq=%22identidad+cultural%22&hl=en&as_sdt=0,5&as_vis=1"
258,S Mansilla Torres,Literatura e identidad cultural,2006,Estudios filológicos,scielo.conicyt.cl,https://scielo.conicyt.cl/scielo.php?pid=S0071-17132006000100010&script=sci_arttext,"https://scholar.google.com/scholar?cites=13213045702909893415&as_sdt=2005&sciodt=0,5&hl=en",3,09/05/22 09:46,HTML,,,,,,,,258,16.13,258,1,16,"Se afirma que la literatura no sólo representa la identidad cultural de la comunidad o colectividad desde donde emerge, sino que ella misma crea identidad. Creemos que la …",https://scielo.conicyt.cl/scielo.php?pid=S0071-17132006000100010&script=sci_arttext,"https://scholar.google.com/scholar?q=related:Jxvyog8rXrcJ:scholar.google.com/&scioq=%22identidad+cultural%22&hl=en&as_sdt=0,5&as_vis=1"
109,S Hall,La cuestión de la identidad cultural,2010,Sin garantías: trayectorias y problemáticas en estudios …,edisciplinas.usp.br,https://edisciplinas.usp.br/pluginfile.php/351429/mod_resource/content/2/Hall.%20la%20identidad%20cutlrual%20en%20la%20psomoderndiad.doc,"https://scholar.google.com/scholar?cites=1457769382623075679&as_sdt=2005&sciodt=0,5&hl=en",4,09/05/22 09:46,DOC,,,,,,,,109,9.08,109,1,12,"… El objetivo de este capítulo es explorar algunas de estas cuestiones del problema de la identidad cultural en la modernidad tardía y afirmar si existe o no una “crisis de identidad”, en …",https://edisciplinas.usp.br/pluginfile.php/351429/mod_resource/content/2/Hall.%20la%20identidad%20cutlrual%20en%20la%20psomoderndiad.doc,"https://scholar.google.com/scholar?q=related:X12wp4cJOxQJ:scholar.google.com/&scioq=%22identidad+cultural%22&hl=en&as_sdt=0,5&as_vis=1"
85,J Vallespir Soler,Interculturalismo e identidad cultural,1999,Revista interuniversitaria de …,redined.educacion.gob.es,https://redined.educacion.gob.es/xmlui/handle/11162/33631,"https://scholar.google.com/scholar?cites=8145907682328085413&as_sdt=2005&sciodt=0,5&hl=en",5,09/05/22 09:46,,,,,,,,,85,3.70,85,1,23,"… de la reivindicación de la propia identidad cultural. En primer … elementos: interculturalidad e identidad cultural. Después se … reconocimiento de la propia identidad cultural, se presenta …",https://redined.educacion.gob.es/xmlui/bitstream/handle/11162/33631/014200030064.pdf?sequence=1,"https://scholar.google.com/scholar?q=related:pYNK0uATDHEJ:scholar.google.com/&scioq=%22identidad+cultural%22&hl=en&as_sdt=0,5&as_vis=1"
129,GA García,Paisaje e identidad cultural,2003,Tabula rasa,revistas.unicolmayor.edu.co,https://revistas.unicolmayor.edu.co/index.php/tabularasa/article/view/1687,"https://scholar.google.com/scholar?cites=17596891039286676674&as_sdt=2005&sciodt=0,5&hl=en",6,09/05/22 09:46,,,,,,,,,129,6.79,129,1,19,"Ante el importante papel del paisaje, como formador de nuestro carácter, alimento del espíritu y estímulo a la creatividad, el cual no ha sido reconocido aún en nuestro medio, es …",https://revistas.unicolmayor.edu.co/index.php/tabularasa/article/download/1687/2183,"https://scholar.google.com/scholar?q=related:wszv-yq3NPQJ:scholar.google.com/&scioq=%22identidad+cultural%22&hl=en&as_sdt=0,5&as_vis=1"
270,M Flores,La identidad cultural del territorio como base de una estrategia de desarrollo sostenible,2007,Revista ópera,redalyc.org,https://www.redalyc.org/pdf/675/67500703.pdf,"https://scholar.google.com/scholar?cites=15986295189610011545&as_sdt=2005&sciodt=0,5&hl=en",7,09/05/22 09:46,PDF,,,,,,,,270,18.00,270,1,15,… y conceptos que conducen a un territorio con identidad cultural; y cómo se establecen políticas … entre estrategias de desarrollo territorial con identidad cultural y la sostenibilidad de este …,https://www.redalyc.org/pdf/675/67500703.pdf,"https://scholar.google.com/scholar?q=related:mZs9o8a62t0J:scholar.google.com/&scioq=%22identidad+cultural%22&hl=en&as_sdt=0,5&as_vis=1"
155,OL Molano,"La identidad cultural, uno de los detonantes del desarrollo territorial",2006,Territorios con identidad cultural,academia.edu,https://www.academia.edu/download/44725236/Identidad_Cultural-Drrll_Territorial.pdf,"https://scholar.google.com/scholar?cites=4396857254362520608&as_sdt=2005&sciodt=0,5&hl=en",8,09/05/22 09:46,PDF,,,,,,,,155,9.69,155,1,16,"… lo que se entiende por cultura, identidad cultural, la normativa internacional creada por la … El concepto de identidad cultural sugiere comprender primero el de cultura y su evolución …",https://www.academia.edu/download/44725236/Identidad_Cultural-Drrll_Territorial.pdf,"https://scholar.google.com/scholar?q=related:IJxglmDGBD0J:scholar.google.com/&scioq=%22identidad+cultural%22&hl=en&as_sdt=0,5&as_vis=1"
395,JF Colmeiro,Memoria histórica e identidad cultural: de la postguerra a la postmodernidad,2005,Memoria histórica e identidad cultural,torrossa.com,https://www.torrossa.com/gs/resourceProxy?an=4661044&publisher=FZ0265,"https://scholar.google.com/scholar?cites=6115649291309534330&as_sdt=2005&sciodt=0,5&hl=en",9,09/05/22 09:46,,,,,,,,,395,23.24,395,1,17,"Todo proceso de investigación responde al deseo de despejar una incógnita y resolver algo desconocido, en definitiva de proyectar luz sobre zonas oscuras que nos inquietan. En la …",,"https://scholar.google.com/scholar?q=related:esxf26Am31QJ:scholar.google.com/&scioq=%22identidad+cultural%22&hl=en&as_sdt=0,5&as_vis=1"
37,N Martínez,Identidad cultural y educación,2015,,redicces.org.sv,http://redicces.org.sv/jspui/bitstream/10972/2055/1/3.%20Identidad%20cultural%20y%20educacion.pdf,"https://scholar.google.com/scholar?cites=12097540568414863514&as_sdt=2005&sciodt=0,5&hl=en",10,09/05/22 09:46,PDF,,,,,,,,37,5.29,37,1,7,… El autor aborda en este ensayo las categorías de cultura e identidad cultural como términos claves para entender el enfoque multicultural. Analiza sus implicaciones dentro de la …,http://redicces.org.sv/jspui/bitstream/10972/2055/1/3.%20Identidad%20cultural%20y%20educacion.pdf,"https://scholar.google.com/scholar?q=related:msA-LA0Z46cJ:scholar.google.com/&scioq=%22identidad+cultural%22&hl=en&as_sdt=0,5&as_vis=1"
